language	fns_exposed	fns_null_with_reason	enums_ok	iterator	reducer	phonetic_gating	readme_present	tests_present	findings
c	36/36	0	4/4	llev_query_cursor_next_batch	llev_query_cursor_reduce	llev_build_features	yes	yes	-
clojure	16/36	20	3/4	ResultCursor	reduce-batches	status-error	yes	yes	-
cpp	35/36	1	4/4	vinary_tree::liblevenshtein::query_cursor::next_batch	llev_query_cursor_reduce	llev_build_features	yes	yes	-
dotnet	27/36	9	4/4	Query.GetEnumerator	none	status-error	yes	yes	-
fortran	26/36	10	4/4	query_iterator%next	none	status-error	yes	yes	-
go	27/36	9	4/4	Iterator.Next	none	status-error	yes	yes	-
haskell	26/36	10	3/4	next	foldBatches	status-error	yes	yes	-
javascript	20/36	16	3/4	QueryCursor	QueryCursor.reduceBatches	status-error	yes	yes	-
javascript-runtime	26/36	10	3/4	QueryCursor.next	QueryCursor.reduceBatches	status-error	yes	yes	-
jvm	22/36	14	4/4	QueryCursor.next	QueryCursor.forEachBatch	status-error	yes	yes	-
lua	27/36	9	3/4	cursor:next	cursor:reduce_batches	status-error	yes	yes	-
ocaml	26/36	10	3/4	next	fold_batches	status-error	yes	yes	-
python	22/36	14	4/4	QueryCursor.__next__	QueryCursor.reduce	status-error	yes	yes	-
ruby	27/36	9	4/4	Query#each	none	status-error	yes	yes	-
swift	27/36	9	3/4	QueryCursor.next	QueryCursor.reduceBatches	status-error	yes	yes	-
